ID_MOEDA;DATA_REF;VL_COTACAO
USD;30/12/2015;3,403191268
USD;02/11/2015;2,389005005
USD;27/05/2015;4,372847557
USD;19/01/2015;7,317042112
USD;10/04/2015;5,418092191
USD;19/03/2015;4,621511877
USD;08/09/2015;4,112041354
USD;04/02/2015;2,834247589
USD;26/02/2015;1,622851372
USD;09/02/2015;1,688195407
USD;19/11/2015;6,478619218
USD;22/12/2015;7,072938979
USD;14/01/2015;3,364828408
USD;24/09/2015;4,92817986
USD;14/05/2015;7,736139238
USD;05/01/2015;5,711684108
USD;24/08/2015;3,524417341
USD;24/04/2015;7,259059727
USD;13/05/2015;5,92405045
USD;21/07/2015;5,343501031
USD;26/05/2015;7,761069715
USD;24/03/2015;4,966056228
USD;27/08/2015;4,789757133
USD;07/12/2015;3,74420917
USD;27/01/2015;5,174322009
USD;06/01/2015;5,42182225
USD;06/03/2015;2,979877591
USD;07/04/2015;2,65920186
USD;01/09/2015;6,139559805
USD;06/07/2015;2,488116503
USD;07/08/2015;1,269807577
USD;31/07/2015;1,200859487
USD;03/02/2015;6,594574392
USD;01/06/2015;7,061035335
USD;11/02/2015;3,586784422
USD;26/06/2015;4,77690804
USD;11/09/2015;7,959858477
USD;27/11/2015;3,12638545
USD;18/09/2015;5,380538344
USD;15/10/2015;3,140145361
USD;24/11/2015;7,976562798
USD;03/11/2015;5,485013366
USD;23/12/2015;7,465193868
USD;09/07/2015;4,431928098
USD;20/02/2015;6,243890047
USD;16/07/2015;4,597674131
USD;27/10/2015;6,786066592
USD;16/10/2015;1,879785657
USD;02/06/2015;5,633839369
USD;18/11/2015;5,215436518
USD;25/11/2015;6,365894675
USD;22/04/2015;3,84736532
USD;16/02/2015;6,593028545
USD;30/01/2015;4,55757767
USD;02/02/2015;2,757859826
USD;01/01/2015;2,915601254
USD;21/08/2015;1,431961656
USD;30/09/2015;1,626009822
USD;08/05/2015;3,329167545
USD;24/02/2015;3,527123094
USD;08/04/2015;4,397994578
USD;29/01/2015;5,971567392
USD;24/06/2015;7,811465979
USD;12/06/2015;7,49399209
USD;13/02/2015;2,458021104
USD;02/04/2015;1,279076397
USD;20/05/2015;6,559244812
USD;19/08/2015;6,339219332
USD;30/06/2015;2,145329952
USD;25/12/2015;3,261777401
USD;19/05/2015;5,346215129
USD;07/07/2015;3,407344401
