ID_MOEDA;DATA_REF;VL_COTACAO
EUR;13/03/2020;4,012213469
EUR;03/04/2020;7,287282169
EUR;24/09/2020;4,268513143
EUR;02/09/2020;2,309396207
EUR;22/09/2020;5,423258364
EUR;07/02/2020;2,111032188
EUR;20/03/2020;6,174815953
EUR;23/10/2020;7,008877516
EUR;03/08/2020;1,246305287
EUR;26/02/2020;3,177850246
EUR;16/01/2020;5,194380462
EUR;27/01/2020;4,756912589
EUR;15/06/2020;4,697553754
EUR;18/03/2020;3,022032678
EUR;04/02/2020;2,201960087
EUR;07/10/2020;6,163619518
EUR;22/05/2020;6,093360066
EUR;30/06/2020;7,34503299
EUR;14/05/2020;6,444517136
EUR;13/05/2020;5,313677251
EUR;11/08/2020;1,502561986
EUR;03/09/2020;5,620446205
EUR;17/07/2020;3,968628526
EUR;21/01/2020;6,884102464
EUR;26/06/2020;4,548866689
EUR;26/08/2020;4,598467708
EUR;15/01/2020;7,724346995
EUR;05/06/2020;1,807461739
EUR;18/09/2020;1,38259095
EUR;16/04/2020;7,665257692
EUR;09/04/2020;1,530923784
EUR;21/10/2020;4,050754905
EUR;20/01/2020;3,813348353
EUR;14/07/2020;3,193854034
EUR;06/05/2020;7,725768924
EUR;27/04/2020;7,717392147
EUR;03/07/2020;2,000932455
EUR;26/10/2020;7,471526206
EUR;06/10/2020;2,701417863
EUR;01/07/2020;2,402085662
EUR;27/10/2020;7,4383775
EUR;14/04/2020;4,34015739
EUR;15/10/2020;5,105129838
EUR;08/10/2020;7,240454495
EUR;29/01/2020;5,106484175
EUR;09/10/2020;4,182129741
EUR;21/09/2020;2,903059244
EUR;18/06/2020;6,706443608
EUR;17/09/2020;3,697091937
EUR;24/04/2020;2,682659507
EUR;28/08/2020;6,243956804
EUR;14/02/2020;3,658632278
EUR;13/04/2020;4,471632779
EUR;07/01/2020;5,906335592
EUR;28/01/2020;2,34228915
EUR;05/08/2020;6,977204978
EUR;22/06/2020;1,841106117
EUR;29/04/2020;6,18353945
EUR;19/05/2020;7,037089527
EUR;19/08/2020;4,107397139
EUR;25/08/2020;7,297638714
EUR;07/07/2020;1,837575078
EUR;28/09/2020;2,689038575
EUR;15/04/2020;3,124293029
EUR;25/05/2020;4,945007265
EUR;04/03/2020;1,633819163
EUR;01/09/2020;5,305067658
EUR;10/01/2020;6,3973369
EUR;10/03/2020;7,217119515
EUR;05/02/2020;1,495549977
EUR;15/07/2020;2,124543428
EUR;11/09/2020;2,683542371
EUR;22/04/2020;6,613005638
EUR;23/06/2020;1,609544992
EUR;25/06/2020;1,015283227
EUR;08/07/2020;4,382284105
EUR;24/02/2020;4,362986684
EUR;17/08/2020;2,94612807
EUR;29/06/2020;2,791683197
EUR;20/10/2020;2,076401055
EUR;31/01/2020;6,99652493
EUR;04/08/2020;2,702663302
EUR;18/08/2020;1,3603971
EUR;14/08/2020;6,326140761
EUR;17/02/2020;5,468795121
EUR;17/01/2020;6,787026644
EUR;05/05/2020;2,297197163
EUR;13/07/2020;2,576084971
EUR;29/07/2020;4,759517789
EUR;12/08/2020;7,73333168
EUR;31/07/2020;7,990770817
EUR;11/05/2020;4,916557848
EUR;20/08/2020;1,459475636
EUR;14/09/2020;3,505515039
EUR;10/09/2020;3,78368479
EUR;30/07/2020;4,48266691
EUR;01/06/2020;7,337893724
EUR;19/03/2020;7,026970387
EUR;22/01/2020;2,535182416
EUR;21/07/2020;7,237025261
EUR;01/10/2020;4,091687918
EUR;18/02/2020;5,856971145
EUR;28/02/2020;4,189112544
EUR;10/02/2020;7,047813654
EUR;07/04/2020;3,064502776
EUR;19/06/2020;3,535138965
EUR;06/08/2020;6,285232782
EUR;12/03/2020;1,672540843
EUR;20/05/2020;5,794543982
EUR;30/09/2020;1,292859256
EUR;15/05/2020;6,544734299
EUR;29/10/2020;3,061445713
EUR;16/10/2020;5,766631544
EUR;04/05/2020;5,954275608
EUR;01/04/2020;6,867238343
EUR;12/10/2020;7,153063476
EUR;21/08/2020;7,936504304
EUR;05/10/2020;6,927811742
EUR;22/07/2020;2,711155236
EUR;10/04/2020;7,214164257
EUR;08/04/2020;5,258080602
EUR;02/03/2020;1,813755691
EUR;21/02/2020;3,04841429
EUR;04/09/2020;3,527689278
EUR;01/05/2020;1,834675729
EUR;02/06/2020;7,779887736
EUR;06/07/2020;4,2502442
EUR;09/06/2020;4,631983161
EUR;30/04/2020;7,528900266
EUR;16/06/2020;6,62363714
EUR;13/02/2020;2,623815954
EUR;04/06/2020;6,378568113
EUR;08/01/2020;4,291847289
EUR;19/02/2020;2,54894942
EUR;30/01/2020;1,065424979
EUR;12/06/2020;5,983441412
EUR;14/10/2020;5,418057978
EUR;02/07/2020;6,392121494
EUR;14/01/2020;6,652163327
EUR;24/06/2020;2,057707369
EUR;18/05/2020;2,328372359
EUR;24/08/2020;2,96812582
EUR;16/03/2020;6,658783972
EUR;06/04/2020;5,52248168
EUR;03/02/2020;2,091957986
EUR;15/09/2020;4,537460804
EUR;11/06/2020;2,861025572
EUR;23/01/2020;4,054415703
EUR;03/01/2020;5,521783233
EUR;06/02/2020;4,306491733
EUR;01/01/2020;3,782413483
EUR;23/03/2020;2,80580318
EUR;19/10/2020;7,676474571
EUR;16/09/2020;2,7605322
EUR;27/05/2020;1,756977856
EUR;23/07/2020;4,197273612
EUR;29/05/2020;6,719742477
EUR;29/09/2020;5,569287658
EUR;27/08/2020;4,1403777
EUR;02/10/2020;2,599071562
EUR;12/02/2020;1,42454493
EUR;06/03/2020;6,134263456
EUR;26/05/2020;7,21214819
EUR;08/09/2020;7,077043712
EUR;21/04/2020;4,717475355
EUR;09/03/2020;3,93490696
EUR;13/10/2020;5,914883852
EUR;13/01/2020;5,384456158
EUR;03/03/2020;2,887885332
EUR;07/09/2020;6,84728086
EUR;11/02/2020;1,99876076
EUR;27/07/2020;3,241608381
EUR;02/04/2020;7,636250854
EUR;25/02/2020;7,046283662
EUR;06/01/2020;2,228341281
EUR;27/03/2020;7,892209649
EUR;08/05/2020;2,657245874
EUR;13/08/2020;5,111884415
EUR;07/08/2020;4,778690875
EUR;17/04/2020;3,174748957
EUR;23/09/2020;4,180348992
EUR;09/07/2020;6,890552044
EUR;02/01/2020;6,505654633
EUR;16/07/2020;7,792985499
EUR;24/07/2020;2,325893581
EUR;17/03/2020;4,284807324
EUR;20/04/2020;2,811619401
EUR;12/05/2020;2,432872415
EUR;07/05/2020;2,380544364
EUR;31/03/2020;7,973083496
EUR;17/06/2020;2,702625751
EUR;11/03/2020;6,880552649
EUR;24/01/2020;3,89179641
EUR;28/04/2020;5,524143934
EUR;09/09/2020;6,884642363
EUR;31/08/2020;2,557792246
EUR;28/07/2020;5,402239859
EUR;25/03/2020;2,209585428
EUR;20/02/2020;7,96599555
EUR;27/02/2020;7,051277936
EUR;20/07/2020;5,21129173
EUR;22/10/2020;1,917793453
EUR;03/06/2020;6,12706244
EUR;24/03/2020;4,001769722
EUR;26/03/2020;7,011492312
EUR;23/04/2020;3,899620354
EUR;10/07/2020;1,751063168
EUR;30/10/2020;7,092874348
EUR;08/06/2020;3,783048928
EUR;28/05/2020;6,646231532
EUR;28/10/2020;4,785931528
EUR;09/01/2020;1,439328313
EUR;25/09/2020;3,988212585
EUR;10/08/2020;5,608192086
EUR;10/06/2020;4,070593059
EUR;30/03/2020;2,703243673
EUR;21/05/2020;3,683862746
EUR;05/03/2020;6,053549409
