ID_MOEDA;DATA_REF;VL_COTACAO
JPY;10/03/2000;6,350623131
JPY;20/03/2000;7,986427426
JPY;08/03/2000;6,148785233
JPY;28/03/2000;5,553920984
JPY;06/03/2000;1,582928896
JPY;17/03/2000;5,79405123
JPY;22/03/2000;4,275145054
JPY;09/03/2000;5,588790357
JPY;03/03/2000;3,893923461
JPY;01/03/2000;5,05541116
JPY;14/03/2000;7,649341941
JPY;07/03/2000;4,742047846
JPY;16/03/2000;4,177410841
JPY;02/03/2000;4,502884746
JPY;30/03/2000;2,581073403
JPY;21/03/2000;2,594906747
JPY;13/03/2000;4,632080376
JPY;29/03/2000;4,046845019
JPY;23/03/2000;5,529901326
JPY;24/03/2000;3,441718936
JPY;15/03/2000;6,325157344
JPY;31/03/2000;5,251886785
JPY;27/03/2000;5,990506828
